Número;Mailing;Operador;CNPJ;RAZAO_SOCIAL;"Texto de Integração";Finalizado;Status;Classificação;Subclassificação;"Data que ligou"
18997277339;01-Recadastro_02-03;;17402816000144;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
44999243752;01-Recadastro_02-03;;07936865000103;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
48999692532;01-Recadastro_02-03;;62670191000156;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:16"
67993490018;01-Recadastro_02-03;;35953853000122;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
62999121581;01-Recadastro_02-03;;38142247000115;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
14998083416;01-Recadastro_02-03;;02045297000137;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:17"
11988741274;01-Recadastro_02-03;;40011946000178;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
85991211775;01-Recadastro_02-03;;60054128000160;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
19999447750;01-Recadastro_02-03;;62166618000183;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:17"
41998460215;01-Recadastro_02-03;;37168296000164;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
64992118511;01-Recadastro_02-03;;62655763000128;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:17"
51994795951;01-Recadastro_02-03;;38051549000188;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
62991728989;01-Recadastro_02-03;;61963324000110;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
11986563798;01-Recadastro_02-03;;44757120000103;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
41996937335;01-Recadastro_02-03;;05895177000117;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
98999036737;01-Recadastro_02-03;;34189036000187;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
68999673428;01-Recadastro_02-03;;64010066000145;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
11961177517;01-Recadastro_02-03;;53879067000104;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
11988671630;01-Recadastro_02-03;;29370569000120;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
48999437755;01-Recadastro_02-03;;46538394000137;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
19999090079;01-Recadastro_02-03;;18855047000100;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
38992226419;01-Recadastro_02-03;;36704763000160;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
77999894727;01-Recadastro_02-03;;64018912000173;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
66999210190;01-Recadastro_02-03;;39348128000186;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
31990709900;01-Recadastro_02-03;;60805602000148;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:17"
83999538480;01-Recadastro_02-03;;63920923000181;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
11960528039;01-Recadastro_02-03;;30377330000161;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
41988342238;01-Recadastro_02-03;;62092444000151;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:17"
16988519299;01-Recadastro_02-03;;47977802000110;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:17:06"
11973951136;01-Recadastro_02-03;;26424790000126;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:17:06"
34991483039;01-Recadastro_02-03;;36259036000131;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:49"
82991709752;01-Recadastro_02-03;;36056221000129;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:23:58"
67981348751;01-Recadastro_02-03;;62422247000153;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:13:01"
14996009016;01-Recadastro_02-03;;32474372000146;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:43:02"
43988158549;01-Recadastro_02-03;;36821188000186;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:50"
31999723826;01-Recadastro_02-03;;41895554000181;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:22:07"
11977246645;01-Recadastro_02-03;;63940833000152;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:26:29"
21967223362;01-Recadastro_02-03;"Ana Beatriz Rodrigues";25310036000100;RECADASTRO;;Sim;Atendido;-;"Não classificado pelo operador";"02/03/2026 16:28:25"
18996322923;01-Recadastro_02-03;;35960680000170;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:49"
49988003497;01-Recadastro_02-03;;61732742000104;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:49"
44999186995;01-Recadastro_02-03;;38010737000168;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:49"
41988498949;01-Recadastro_02-03;;17863651000108;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:17:06"
11960820224;01-Recadastro_02-03;;35116759000119;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:23:58"
94992171438;01-Recadastro_02-03;;62600827000193;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:13:58"
82996671222;01-Recadastro_02-03;;63632650000170;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:49"
48991333226;01-Recadastro_02-03;;47596480000169;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:23:58"
16993851089;01-Recadastro_02-03;;28565457000162;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:50"
11983690041;01-Recadastro_02-03;;11484394000117;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:22:07"
51996475565;01-Recadastro_02-03;;62604819000115;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:13:58"
98987341684;01-Recadastro_02-03;;62524136000158;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:28:25"
35991484119;01-Recadastro_02-03;;62656899000152;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:17:07"
